epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.363,1.50286,1.11389,1.42002,0.86732,0.7643,0.86679,0.55172,1.21409,0.79522,1.26865,0.0668436,0.000166615,0.000166615
2,242.605,1.39148,0.99581,1.34293,0.8964,0.7759,0.88247,0.5762,1.15736,0.70799,1.21711,0.0336769,0.0003332,0.0003332
3,359.36,1.34936,0.93636,1.31652,0.89628,0.77161,0.87923,0.58522,1.11547,0.69482,1.21348,0.000509793,0.00049946,0.00049946
4,476.687,1.31777,0.91172,1.30337,0.89816,0.79016,0.888,0.58829,1.11505,0.68284,1.20608,0.000498902,0.000498902,0.000498902
5,593.45,1.31965,0.88846,1.29574,0.89492,0.78148,0.8855,0.59206,1.09498,0.67293,1.19925,0.000498048,0.000498048,0.000498048
6,710.085,1.32513,0.89735,1.30182,0.88831,0.79435,0.89163,0.59298,1.10321,0.66878,1.19295,0.000496953,0.000496953,0.000496953
7,829.066,1.30279,0.88358,1.29217,0.90646,0.79854,0.89579,0.59949,1.0894,0.65848,1.19176,0.000495616,0.000495616,0.000495616
8,953.673,1.3103,0.8713,1.28803,0.89132,0.80225,0.89628,0.6013,1.07507,0.65117,1.1921,0.000494039,0.000494039,0.000494039
9,1069.41,1.29538,0.87468,1.29038,0.88586,0.81812,0.90159,0.60013,1.08512,0.64543,1.18313,0.000492224,0.000492224,0.000492224
10,1187.65,1.27622,0.87102,1.26595,0.90272,0.78606,0.8916,0.60375,1.06283,0.65893,1.17544,0.000490173,0.000490173,0.000490173
11,1305.84,1.27408,0.85736,1.27385,0.8997,0.78339,0.89068,0.60127,1.06191,0.65243,1.17512,0.000487886,0.000487886,0.000487886
12,1421.63,1.28348,0.86062,1.2708,0.90353,0.79555,0.89674,0.60191,1.07228,0.65273,1.17752,0.000485368,0.000485368,0.000485368
13,1538.72,1.27242,0.85241,1.27016,0.8875,0.80122,0.89705,0.60695,1.05664,0.63533,1.1689,0.00048262,0.00048262,0.00048262
14,1657.36,1.26897,0.85811,1.26977,0.88351,0.80278,0.89651,0.609,1.04684,0.64043,1.16609,0.000479644,0.000479644,0.000479644
15,1774.88,1.26397,0.84193,1.26112,0.89277,0.80598,0.90015,0.61043,1.03731,0.6342,1.15593,0.000476445,0.000476445,0.000476445
16,1891.62,1.26157,0.84725,1.27197,0.89514,0.79306,0.89342,0.60223,1.06914,0.64865,1.17696,0.000473024,0.000473024,0.000473024
17,2008.39,1.25876,0.84404,1.25505,0.90387,0.80031,0.8987,0.6115,1.04362,0.6401,1.16056,0.000469386,0.000469386,0.000469386
18,2124.84,1.24556,0.82477,1.26065,0.90275,0.80925,0.9051,0.61649,1.03307,0.61942,1.15514,0.000465534,0.000465534,0.000465534
